Stand,Transect,Tree,TransectPart,Xcoord,Ycoord,Projection,Datum,elev_ft,YearEstablished,Elev,Slope,Aspect,GrizPCA,Admin,Num.Trees,LongitudeX,LatitudeY
8820,8820.1,8820.1.75,center,561569,4838171,UTM Zone 12,NAD83,9456,2004,2883,9,87,1,Bridger-Teton,21,-110.2359756,43.69400364
8836,8836.5,8836.5.33,center,571030,4838968,UTM Zone 12,NAD83,8859,2004,2700,9,15,1,Bridger-Teton,12,-110.1184795,43.700334
8848,8848.1,8848.1.262,center,575988,4838301,UTM Zone 12,NAD83,9380,2006,2859,11,57,1,Bridger-Teton,51,-110.0570501,43.6938381
8898,8898.1,8898.1.56,center,562502,4837332,UTM Zone 12,NAD83,8757,2004,2669,7,310,1,Bridger-Teton,8,-110.2244962,43.68637201
9023,9023.1,9023.1.20,center,665312,4741560,UTM Zone 12,NAD83,9479,2005,2889,8,53,0,Shoshone,37,-108.978132,42.80875264
9045,9045.1,9045.1.55,center,413127,5049117,UTM Zone 12,NAD83,9380,2007,2792,28,153,0,Beaverhead-Deerlodge,49,-112.1137291,45.59016644
9045,9045.3,9045.3.236,center,413207,5049013,UTM Zone 12,NAD83,9161,2006,2859,22,145,0,Beaverhead-Deerlodge,44,-112.1126852,45.58924051
9474,9474.1,9474.1.75,center,668946,4735421,UTM Zone 12,NAD83,9649,2005,2941,7,83,0,Shoshone,34,-108.9355509,42.75271103
10596,10596.1,10596.1.59,center,670047,4719361,UTM Zone 12,NAD83,9810,2005,2990,5,139,0,Shoshone,8,-108.9269184,42.60793298
10596,10596.2,10596.2.60,center,670055,4719412,UTM Zone 12,NAD83,9823,2005,2994,6,161,0,Shoshone,12,-108.9268057,42.60839021
11378,11378.1,11378.1.1,center,542122,4696244,UTM Zone 12,NAD83,10007,2005,3050,5,297,0,Bridger-Teton,45,-110.48803,42.41736125
11378,11378.5,11378.5.75,center,541960,4695865,UTM Zone 12,NAD83,10050,2005,3063,6,333,0,Bridger-Teton,47,-110.4900266,42.41395688
11390,11390.1,11390.1.47,center,532009,4694296,UTM Zone 12,NAD83,9298,2005,2834,3,300,0,Bridger-Teton,30,-110.6110532,42.40030097
11390,11390.4,11390.4.56,center,531880,4694326,UTM Zone 12,NAD83,9226,2005,2813,7,291,0,Bridger-Teton,4,-110.612619,42.40057646
11418,11418.1,11418.1.100,center,530318,4688789,UTM Zone 12,NAD83,9456,2005,2882,32,247,0,Bridger-Teton,32,-110.6318902,42.35077341
11418,11418.5,11418.5.18,center,530227,4689949,UTM Zone 12,NAD83,9899,2005,3017,3,285,0,Bridger-Teton,7,-110.6329342,42.36122382
11441,11441.1,11441.1.45,center,530728,4686294,UTM Zone 12,NAD83,9699,2005,2956,12,262,0,Bridger-Teton,71,-110.627045,42.3282875
11603,11603.1,11603.1.244,center,591255,5024066,UTM Zone 12,NAD83,8819,2006,2688,10,254,0,Custer Gallatin,63,-109.8347606,45.36416351
13331,13331.1,13331.1.19,center,624353,4998320,UTM Zone 12,NAD83,9167,2006,2794,9,34,0,Custer Gallatin,70,-109.4187136,45.12740612
13342,13342.1,13342.1.212,center,424544,4997883,UTM Zone 12,NAD83,8593,2006,2498,12,25,0,Beaverhead-Deerlodge,5,-111.9595566,45.13038944
13342,13342.5,13342.5.216,center,424938,4997744,UTM Zone 12,NAD83,8196,2006,2619,16,71,0,Beaverhead-Deerlodge,5,-111.954526,45.12918036
13807,13807.1,13807.1.55,center,460762,4977516,UTM Zone 12,NAD83,9748,2007,2971,30,190,0,Beaverhead-Deerlodge,67,-111.497415,44.94999648
13975,13975.1,13975.1.205,center,460547,4972185,UTM Zone 12,NAD83,8357,2006,2547,18,188,0,Beaverhead-Deerlodge,13,-111.4997242,44.90199651
14032,14032.1,14032.1.206,center,625833,4970970,UTM Zone 12,NAD83,9377,2006,2858,10,95,0,Shoshone,35,-109.4067391,44.88103725
14610,14610.2,14610.2.299,center,409033,4954742,UTM Zone 12,NAD83,8101,2006,2469,15,114,0,Beaverhead-Deerlodge,5,-112.1489998,44.74028416
15267,15267.1,15267.1.5,center,513382,4845543,UTM Zone 12,NAD83,8964,2006,2731,9,75,0,Grand Teton,8,-110.8337491,43.76281317
17252,17252.1,17252.1.51,center,608079,4771632,UTM Zone 12,NAD83,10365,2007,3159,4,324,0,Bridger-Teton,13,-109.6720879,43.08970375
18499,18499.5,18499.5.89,center,657495,4734883,UTM Zone 12,NAD83,10329,2006,3148,13,230,0,Shoshone,46,-109.0755474,42.75030525
19391,19391.1,19391.1.946,center,657105,4720551,UTM Zone 12,NAD83,10358,2007,3157,20,225,0,Bridger-Teton,63,-109.0842795,42.62138958
20328,20328.1,20328.1.277,center,522496,4702366,UTM Zone 12,NAD83,9512,2006,2899,13,267,0,Bridger-Teton,18,-110.7263297,42.47331229
20352,20352.1,20352.1.62,center,522094,4699619,UTM Zone 12,NAD83,8898,2007,2712,25,92,0,Bridger-Teton,1,-110.7313259,42.44858482
20400,20400.2,20400.2.205,center,531630,4693310,UTM Zone 12,NAD83,8937,2006,2747,15,271,0,Bridger-Teton,11,-110.6157126,42.39143675
20400,20400.4,20400.4.258,center,531722,4693543,UTM Zone 12,NAD83,9013,2006,2724,16,274,0,Bridger-Teton,49,-110.614582,42.39353136
20438,20438.1,20438.1.264,center,527321,4686693,UTM Zone 12,NAD83,9384,2006,2859,16,21,0,Bridger-Teton,4,-110.6683772,42.33200793
20475,20475.2,20475.2.263,center,532074,4676859,UTM Zone 12,NAD83,9000,2006,2743,7,29,0,Bridger-Teton,1,-110.6112313,42.2432615
20499,20499.1,20499.1.62,center,529107,4670372,UTM Zone 12,NAD83,9085,2006,2769,23,90,0,Bridger-Teton,5,-110.6475186,42.1849548
20502,20502.1,20502.1.21,center,528386,4670396,UTM Zone 12,NAD83,9246,2006,2818,4,346,0,Bridger-Teton,40,-110.6562485,42.18519744
22491,22491.3,22491.3.3,center,564723,4825691,UTM Zone 12,NAD83,8399,2007,2560,22,132,0,Bridger-Teton,5,-110.1983359,43.58137543
22514,22514.2,22514.2.8,center,508902,4823881,UTM Zone 12,NAD83,9708,2007,2959,36,171,0,Bridger-Teton,1,-110.8897637,43.56783545
23462,23462.5,23462.5.43,center,510204,4759215,UTM Zone 12,NAD83,9554,2007,2912,24,212,0,Bridger-Teton,16,-110.8748398,42.98552524
23881,23881.5,23881.5.278,center,516946,4744683,UTM Zone 12,NAD83,8983,2006,2738,8,37,0,Bridger-Teton,7,-110.7925836,42.85454199
24672,24672.1,24672.1.49,center,518463,4734751,UTM Zone 12,NAD83,9915,2007,3022,32,202,0,Bridger-Teton,14,-110.7743412,42.76506601
25058,25058.3,25058.3.271,center,519133,4729595,UTM Zone 12,NAD83,9636,2006,2935,10,258,0,Bridger-Teton,8,-110.7663268,42.71861762
25099,25099.1,25099.1.63,center,533975,4728253,UTM Zone 12,NAD83,9613,2007,2930,5,96,0,Bridger-Teton,9,-110.5851442,42.70601926
25705,25705.1,25705.1.12,center,517725,4721048,UTM Zone 12,NAD83,8819,2006,2688,23,242,0,Bridger-Teton,4,-110.7837898,42.64168113
